Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1737245842,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1737245843,2,,Aggregated,0.000000,0.000000,35,35,35,35,35,35,35,35,35,35,35,2,0,11.203099973499775,23.00609997473657,11.203099973499775,34.80909997597337,26.0
1737245844,4,,Aggregated,0.000000,0.000000,11,11,26,26,35,35,35,35,35,35,35,6,0,11,17.369266677026946,10.482499958015978,34.80909997597337,26.0
1737245845,6,,Aggregated,2.000000,0.000000,12,13,19,26,35,35,35,35,35,35,35,9,0,12,16.491800003374617,10.482499958015978,34.80909997597337,26.0
1737245846,10,,Aggregated,2.000000,0.000000,12,14,19,21,26,35,35,35,35,35,35,15,0,12,15.565993349688748,8.984000072814524,34.80909997597337,26.0
1737245847,10,,Aggregated,2.666667,0.000000,12,14,19,19,21,26,35,35,35,35,35,22,0,12,14.82237727825784,8.712099981494248,34.80909997597337,26.0
1737245848,10,,Aggregated,3.750000,0.000000,12,13,18,19,21,26,35,35,35,35,35,27,0,12,14.138522225915006,8.712099981494248,34.80909997597337,26.0
1737245849,10,,Aggregated,3.600000,0.000000,12,13,18,18,20,26,35,35,35,35,35,32,0,12,13.972109383757925,8.712099981494248,34.80909997597337,26.0
1737245850,10,,Aggregated,4.000000,0.000000,12,13,13,18,20,26,35,35,35,35,35,37,0,12,13.563743251300341,8.712099981494248,34.80909997597337,26.0
1737245851,10,,Aggregated,4.142857,0.000000,12,13,13,14,19,21,35,35,35,35,35,41,0,12,13.403419521637261,8.712099981494248,34.80909997597337,26.0
1737245852,10,,Aggregated,4.375000,0.000000,12,13,13,14,19,21,35,35,35,35,35,47,0,12,13.133255328903807,8.712099981494248,34.80909997597337,26.0
1737245853,10,,Aggregated,4.333333,0.000000,12,13,13,14,19,26,28,35,35,35,35,51,0,12,13.361419617271453,8.712099981494248,34.80909997597337,26.0
1737245854,10,,Aggregated,4.300000,0.000000,12,13,14,14,20,26,28,35,35,35,35,58,0,12,13.360175870134142,8.712099981494248,34.80909997597337,26.0
1737245855,10,,Aggregated,4.700000,0.000000,12,13,14,15,21,26,28,35,35,35,35,61,0,12,13.71235574679602,8.712099981494248,34.80909997597337,26.0
1737245856,10,,Aggregated,4.900000,0.000000,12,13,14,18,21,26,28,35,35,35,35,66,0,12,13.824325767486837,8.712099981494248,34.80909997597337,26.0
1737245857,10,,Aggregated,5.000000,0.000000,12,13,14,18,21,26,28,35,35,35,35,72,0,12,13.848598622846314,8.712099981494248,34.80909997597337,26.0
1737245858,10,,Aggregated,4.800000,0.000000,12,13,14,18,21,26,28,35,35,35,35,77,0,12,13.928770140575415,8.712099981494248,34.80909997597337,26.0
1737245859,10,,Aggregated,5.100000,0.000000,13,14,15,18,21,23,28,35,35,35,35,84,0,13,13.986290485176834,8.712099981494248,34.80909997597337,26.0
1737245860,10,,Aggregated,4.900000,0.000000,13,14,15,15,21,23,28,35,35,35,35,88,0,13,13.940613645404069,8.712099981494248,34.80909997597337,26.0
1737245861,10,,Aggregated,4.900000,0.000000,13,14,15,15,21,23,28,35,35,35,35,88,0,13,13.940613645404069,8.712099981494248,34.80909997597337,26.0
