Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/client_login,69013,0,180.0,196.94592135825857,3.4375000977888703,1441.374900052324,58.05509106979844,229.99852744973646,0.0,180,220,250,280,350,420,540,670,1000,1100,1400
,Aggregated,69013,0,180.0,196.94592135825857,3.4375000977888703,1441.374900052324,58.05509106979844,229.99852744973646,0.0,180,220,250,280,350,420,540,670,1000,1100,1400
