Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/client_registeration,1484,0,14,15.493249125208209,4.5458999229595065,68.0303000845015,26.33153638814016,4.968974096570884,0.0,14,15,17,18,22,27,35,38,55,68,68
,Aggregated,1484,0,14,15.493249125208209,4.5458999229595065,68.0303000845015,26.33153638814016,4.968974096570884,0.0,14,15,17,18,22,27,35,38,55,68,68
